País,Índice de Liberdade Econômica 2000-2010,Startups Ranking 2020,Serviços % do PIB 2000-2010,Controle de Capital,Regulamento Geral,Ranking de Liberdade Econômica,Direitos de Propriedade,Riqueza dos Bilionários US$ Bilhões,Regulamentos do Mercado de Trabalho 1980-2000,Serviços % do PIB 1980-2000,Número de Bilionários,Valuation Startups US$ Bilhões,Custos de Conformidade de Importação e Exportação,Liberdade para Negociar Internacionalmente,Sistema Jurídico Geral,Índice de Liberdade Econômica 1980-2000,Número de Unicórnios
Bosnia and Herzegovina,6.5,0.0,54.5,7.3,5.9,93.3,3.7,0.0,6.4,44.1,0.0,0.0,6.8,7.1,3.6,6.3,0.0
Botswana,7.0,0.0,48.3,7.9,6.9,62.1,4.6,0.0,8.1,36.1,0.0,0.0,6.1,7.5,5.0,5.9,0.0
Brazil,6.3,24.0,57.2,7.2,4.9,91.5,4.5,184.7,3.1,52.7,60.0,19.8,7.2,6.8,4.5,4.3,11.0
Brunei Darussalam,6.8,0.0,31.9,4.0,5.6,84.4,4.1,0.0,5.2,35.5,0.0,0.0,6.1,7.2,5.6,6.5,0.0
Bulgaria,7.0,35.0,54.5,7.4,4.5,56.6,3.8,4.0,7.3,38.9,2.0,0.0,7.4,7.4,5.9,4.9,0.0
Burkina Faso,6.1,0.0,45.9,4.0,7.3,106.3,5.3,0.0,4.7,44.9,0.0,0.0,4.0,5.9,3.6,6.9,0.0
Burundi,5.5,0.0,35.7,2.9,4.9,121.1,3.7,0.0,4.7,26.4,0.0,0.0,2.1,4.0,3.3,4.9,0.0
Cabo Verde,6.2,0.0,66.8,5.2,6.6,115.2,5.3,0.0,6.4,63.5,0.0,0.0,5.6,5.2,6.4,5.9,0.0
Cambodia,7.1,0.0,38.6,5.6,6.9,63.2,4.1,0.0,8.6,43.7,0.0,0.0,6.7,7.3,3.1,7.4,0.0
Cameroon,5.6,0.0,48.0,0.3,5.2,117.1,4.0,0.0,4.2,43.1,0.0,0.0,4.8,5.3,2.8,5.2,0.0
Canada,8.2,4.0,63.2,3.6,8.4,7.2,6.8,307.9,8.2,58.1,64.0,48.8,8.9,8.5,8.5,8.2,19.0
Central African Republic,5.2,0.0,34.0,0.9,4.2,125.5,3.9,0.0,6.1,50.9,0.0,0.0,2.1,4.9,2.6,4.7,0.0
Chad,5.5,0.0,36.8,0.8,4.4,120.5,2.6,0.0,3.6,48.1,0.0,0.0,2.1,5.1,2.8,5.4,0.0
Chile,7.8,36.0,53.8,7.1,6.5,17.6,5.4,38.6,4.7,51.5,7.0,1.5,8.0,8.5,5.2,6.4,1.0
China,5.8,7.0,42.2,0.6,3.6,109.9,4.1,1938.4,7.9,31.4,515.0,764.3,7.3,6.3,4.7,4.5,86.0
Colombia,6.4,47.0,54.3,8.2,5.5,86.2,4.0,24.1,3.0,51.4,4.0,5.2,7.2,6.4,4.6,5.4,1.0
"Congo, Dem. Rep.",4.8,0.0,40.3,0.2,4.1,130.5,3.3,0.0,5.6,38.7,0.0,0.0,2.6,5.2,1.5,3.3,0.0
"Congo, Rep.",4.7,0.0,29.7,0.8,4.9,131.4,3.3,0.0,4.5,43.4,0.0,0.0,1.9,5.4,2.7,4.7,0.0
Costa Rica,7.4,0.0,58.3,9.0,7.0,40.2,4.3,0.0,4.7,53.0,0.0,0.0,7.3,8.2,6.7,6.8,0.0
Cote d'Ivoire,5.7,0.0,37.2,2.2,5.8,112.0,3.9,0.0,5.6,46.6,0.0,0.0,5.8,5.8,3.6,5.3,0.0
Croatia,6.5,37.0,56.6,7.3,5.5,80.8,3.6,0.0,6.5,48.4,0.0,1.0,7.6,7.4,4.5,5.1,1.0
Cyprus,7.4,57.0,68.1,7.3,5.7,38.3,4.8,17.2,5.0,64.4,3.0,0.0,9.1,7.9,5.6,6.0,0.0
Czech Republic,7.4,0.0,55.0,7.4,4.6,35.1,4.9,0.0,4.6,58.1,0.0,1.2,8.0,8.2,6.1,6.7,1.0
Denmark,8.1,22.0,62.2,7.3,7.1,9.8,7.6,56.0,5.9,60.5,8.0,2.7,9.5,9.0,8.9,7.4,2.0
Dominican Republic,6.7,0.0,55.7,7.7,6.3,73.3,3.1,0.0,4.0,49.0,0.0,0.0,7.7,7.1,4.0,5.4,0.0
Ecuador,6.1,0.0,51.4,9.1,4.7,98.7,3.3,0.0,7.0,48.0,0.0,0.0,6.6,7.3,4.7,5.8,0.0
"Egypt, Arab Rep.",6.1,0.0,46.0,4.4,5.2,99.6,4.9,0.0,5.7,47.6,0.0,0.0,7.4,6.5,3.3,5.0,0.0
El Salvador,7.6,0.0,59.6,5.8,5.7,28.2,4.4,0.0,6.5,52.2,0.0,0.0,8.1,8.2,4.0,5.8,0.0
Estonia,7.9,13.0,59.5,7.3,5.3,15.1,4.9,1.2,7.0,58.6,1.0,9.4,9.3,8.9,6.5,5.8,2.0
Eswatini,6.6,0.0,46.9,7.1,8.1,87.8,5.8,5.3,3.7,39.4,1.0,0.0,7.8,6.8,3.3,7.4,0.0
Ethiopia,5.4,0.0,39.6,1.0,6.7,133.9,4.4,0.0,6.5,33.3,0.0,0.0,3.6,4.9,3.2,5.6,0.0
Fiji,6.8,0.0,55.7,8.7,6.3,67.9,7.6,0.0,4.0,50.8,0.0,0.0,7.0,6.1,5.9,6.1,0.0
Finland,8.0,14.0,55.8,7.0,6.8,12.8,7.4,12.6,7.0,52.1,7.0,2.0,9.2,8.7,8.6,7.6,1.0
France,7.7,12.0,68.6,7.2,6.7,27.6,7.8,550.0,7.0,62.4,43.0,48.6,8.6,8.7,6.8,7.0,23.0
Gabon,5.6,0.0,34.4,1.7,5.6,116.6,5.1,0.0,7.1,41.1,0.0,0.0,7.5,5.9,3.1,5.2,0.0
"Gambia, The",6.7,0.0,55.2,7.0,7.3,90.2,4.7,0.0,8.6,61.7,0.0,0.0,5.9,7.1,5.4,6.1,0.0
Georgia,7.4,80.0,55.4,8.3,6.3,36.7,3.9,6.7,7.4,36.9,2.0,0.0,7.3,8.2,4.2,7.0,0.0
Germany,7.8,5.0,62.7,7.3,5.8,19.7,7.7,604.0,6.8,58.8,130.0,47.4,9.3,8.7,8.4,7.8,18.0
Ghana,6.5,0.0,37.3,2.9,5.0,80.2,5.0,0.0,4.7,34.8,0.0,0.0,6.8,6.3,4.0,4.4,0.0
Greece,7.3,54.0,66.9,7.2,4.8,45.6,5.3,15.2,7.1,57.9,4.0,0.0,7.7,8.4,5.7,6.2,0.0
Guatemala,7.3,0.0,56.6,7.7,5.6,45.2,2.6,0.0,5.7,55.0,0.0,0.0,7.6,8.3,3.2,6.3,0.0
Guinea,6.1,0.0,41.9,1.3,6.2,104.2,3.5,0.0,6.1,47.8,0.0,0.0,5.8,5.8,2.5,7.0,0.0
Guinea-Bissau,5.0,0.0,40.4,1.6,4.6,129.5,3.8,0.0,7.2,33.3,0.0,0.0,6.1,6.2,2.3,3.5,0.0
Guyana,6.4,0.0,37.6,4.1,6.2,86.1,2.5,0.0,6.5,32.2,0.0,0.0,6.7,7.7,5.7,5.1,0.0
Haiti,6.8,0.0,54.4,6.4,6.1,71.6,2.5,0.0,4.4,40.7,0.0,0.0,4.6,7.2,2.8,5.8,0.0
Honduras,7.1,0.0,56.7,7.5,5.7,55.1,2.9,0.0,4.9,47.3,0.0,0.0,7.5,7.3,3.3,6.0,0.0
"Hong Kong SAR, China",9.0,0.0,87.9,9.1,8.4,1.2,6.0,0.0,9.1,71.0,0.0,10.0,9.4,9.6,8.0,8.9,1.0
Hungary,7.4,49.0,55.5,6.8,5.4,40.5,5.2,2.5,5.5,64.7,2.0,0.0,8.1,8.2,6.4,5.5,0.0
Iceland,7.7,55.0,60.3,7.4,6.5,30.1,5.9,3.6,6.2,53.4,2.0,0.0,8.2,7.4,8.4,6.8,0.0
India,6.3,20.0,44.5,0.4,5.9,91.4,4.4,744.8,4.5,37.4,161.0,206.2,7.1,5.7,4.8,5.3,73.0
Indonesia,6.4,45.0,39.0,5.4,4.8,83.7,4.1,115.1,3.4,40.2,30.0,30.9,7.2,7.0,2.8,5.9,7.0
"Iran, Islamic Rep.",6.0,0.0,49.5,2.8,4.1,104.1,5.8,0.0,4.8,52.6,0.0,0.0,5.6,5.8,3.3,4.6,0.0
Iraq,5.4,0.0,28.6,0.1,5.7,150.7,7.0,0.0,6.0,32.7,0.0,0.0,2.3,4.1,2.6,5.1,0.0
Ireland,8.1,18.0,57.9,7.9,7.6,9.8,7.2,54.8,6.8,51.3,9.0,3.8,9.0,9.0,7.8,7.4,3.0
Israel,7.3,3.0,66.2,8.2,4.6,46.4,7.1,111.6,4.2,58.7,29.0,61.4,8.7,8.7,6.1,5.3,33.0
Italy,7.6,29.0,64.5,7.4,5.4,31.3,6.0,194.5,8.1,63.3,52.0,0.0,8.0,8.6,6.8,6.7,0.0
Jamaica,7.4,0.0,65.3,8.3,6.4,41.5,4.3,0.0,7.6,60.9,0.0,0.0,6.9,7.8,5.9,6.0,0.0
Japan,8.0,21.0,69.1,6.3,7.7,13.9,6.9,150.5,6.0,63.8,36.0,12.4,9.0,8.1,7.8,7.8,9.0
Jordan,7.2,0.0,62.4,9.1,6.5,49.6,4.9,0.0,3.9,60.9,0.0,0.0,7.5,8.0,3.7,6.0,0.0
Kazakhstan,6.7,76.0,51.7,2.5,7.7,78.0,5.1,17.4,6.1,45.9,5.0,0.0,1.1,5.8,4.8,7.0,0.0
Kenya,6.9,0.0,51.9,3.3,6.0,62.7,4.0,0.0,8.1,52.2,0.0,0.0,6.1,6.9,4.1,5.5,0.0
"Korea, Rep.",7.4,0.0,54.2,9.1,5.9,40.5,4.4,0.0,7.2,47.0,0.0,0.0,8.8,7.3,5.2,6.3,0.0
Kuwait,7.0,0.0,48.7,4.9,5.4,60.3,4.5,0.0,6.2,53.6,0.0,0.0,7.5,8.0,4.5,5.8,0.0
Kyrgyz Republic,6.8,0.0,41.1,7.2,7.2,77.8,4.0,0.0,4.4,39.1,0.0,0.0,0.8,6.8,4.3,6.7,0.0
Lao PDR,6.7,0.0,42.6,9.0,6.0,94.1,4.4,0.0,5.8,44.4,0.0,0.0,3.7,6.6,3.8,6.9,0.0
Latvia,7.8,42.0,64.1,7.2,5.4,21.1,3.9,0.0,6.2,49.8,0.0,1.0,8.4,8.5,6.0,6.4,1.0
Lebanon,7.4,74.0,67.3,8.5,7.5,47.1,5.1,12.6,6.9,62.0,6.0,0.0,7.2,7.6,3.8,7.6,0.0
Lesotho,6.1,0.0,49.8,4.9,6.6,110.2,4.6,0.0,5.2,56.3,0.0,0.0,3.7,5.4,3.6,5.7,0.0
Liberia,6.8,0.0,28.0,1.5,7.0,91.9,3.8,0.0,3.1,30.6,0.0,0.0,4.2,6.1,2.7,6.6,0.0
Libya,5.7,0.0,25.0,0.2,6.3,132.4,5.2,0.0,3.9,30.7,0.0,0.0,3.6,5.7,3.0,6.2,0.0
Lithuania,7.5,16.0,57.8,7.3,4.6,32.5,3.2,0.0,5.3,53.3,0.0,6.1,8.7,8.4,6.1,5.7,2.0
Luxembourg,7.8,43.0,74.8,7.4,7.6,22.5,7.1,0.0,4.0,66.5,0.0,1.0,9.5,8.7,8.0,8.2,1.0
Madagascar,6.0,0.0,49.6,5.5,4.5,103.5,4.9,0.0,5.7,57.3,0.0,0.0,5.9,6.3,3.3,4.5,0.0
Malawi,5.6,0.0,42.4,7.1,5.4,117.0,4.6,0.0,5.4,33.1,0.0,0.0,4.5,5.6,5.0,4.9,0.0
Malaysia,6.4,40.0,46.3,9.3,6.9,88.0,5.8,63.1,6.7,46.6,17.0,1.0,8.1,6.8,5.3,6.8,1.0
Mali,5.8,0.0,35.8,4.3,4.9,111.9,4.4,0.0,5.4,41.0,0.0,0.0,5.1,6.0,3.1,5.7,0.0
Malta,7.3,0.0,64.7,7.3,5.9,40.8,3.9,0.0,6.8,43.4,0.0,0.0,8.8,7.8,6.0,6.1,0.0
Mauritania,6.0,0.0,40.4,1.4,7.4,110.4,4.9,0.0,3.5,41.6,0.0,0.0,5.1,6.0,2.6,6.9,0.0
Mauritius,7.5,0.0,59.5,8.6,6.9,31.7,4.6,0.0,3.1,50.0,0.0,0.0,7.7,7.9,5.3,6.3,0.0
Mexico,6.8,38.0,59.4,6.1,5.4,68.7,5.2,160.9,7.4,58.6,15.0,17.6,8.2,7.1,5.5,5.8,7.0
Moldova,6.6,0.0,51.6,5.7,7.0,82.5,4.7,0.0,5.9,44.5,0.0,0.0,5.7,6.7,4.8,6.9,0.0
Mongolia,7.0,0.0,40.5,1.5,6.8,63.8,3.6,0.0,5.6,42.4,0.0,0.0,3.5,6.8,5.2,7.0,0.0
Montenegro,6.6,0.0,56.9,6.6,7.3,83.5,4.5,0.0,4.0,49.3,0.0,0.0,7.5,7.4,5.4,6.8,0.0
Morocco,6.1,95.0,51.3,6.7,4.8,98.8,4.4,3.3,5.3,46.8,2.0,0.0,7.5,5.6,3.8,5.3,0.0
Mozambique,5.6,0.0,47.2,3.3,5.7,119.7,4.2,0.0,4.7,48.1,0.0,0.0,6.2,5.8,3.3,6.0,0.0
Myanmar,3.6,0.0,37.8,0.1,3.2,134.6,6.6,0.0,7.6,39.8,0.0,0.0,6.8,1.6,3.0,3.1,0.0
Namibia,6.6,0.0,54.3,5.2,6.8,78.6,6.0,0.0,6.1,54.2,0.0,0.0,6.8,5.9,4.7,5.7,0.0
Nepal,6.5,98.0,45.3,9.1,5.6,81.5,4.9,1.5,5.4,30.9,1.0,0.0,4.5,6.1,4.0,5.3,0.0
Netherlands,7.9,0.0,66.5,7.4,6.6,16.3,7.6,38.0,3.0,62.4,11.0,11.4,9.2,9.0,8.2,7.7,3.0
New Zealand,8.4,33.0,63.7,6.0,7.7,5.3,7.0,13.2,4.0,58.9,3.0,0.0,9.1,9.1,8.7,7.7,0.0
Nicaragua,7.3,0.0,51.7,9.1,4.8,47.1,3.3,0.0,4.3,54.4,0.0,0.0,6.2,8.1,3.8,4.5,0.0
Niger,5.3,0.0,37.0,1.1,4.9,123.6,4.2,0.0,3.9,42.0,0.0,0.0,1.6,5.1,3.8,5.3,0.0
Nigeria,5.8,63.0,45.9,1.1,5.1,109.3,3.0,28.2,6.7,43.5,3.0,4.5,5.3,5.5,2.9,4.1,3.0
North Macedonia,7.0,0.0,54.8,8.3,6.8,61.0,2.8,0.0,3.4,42.8,0.0,0.0,7.6,6.9,5.5,6.7,0.0
Norway,7.8,31.0,51.3,7.4,6.4,22.2,7.4,40.9,6.9,54.1,13.0,2.6,9.2,8.0,8.9,7.3,2.0
Oman,7.1,0.0,39.9,6.3,7.0,57.2,5.8,2.5,5.3,41.2,1.0,0.0,7.3,8.5,4.1,6.3,0.0
Pakistan,5.7,0.0,52.1,0.6,5.3,112.7,4.3,0.0,8.2,44.2,0.0,0.0,7.3,5.4,3.1,4.9,0.0
Panama,7.6,0.0,71.6,7.4,6.6,29.6,4.0,0.0,6.8,67.0,0.0,0.0,8.7,8.5,4.4,7.0,0.0
Papua New Guinea,6.3,0.0,43.8,4.8,6.3,89.0,4.1,0.0,7.2,55.9,0.0,0.0,6.4,6.2,5.2,5.9,0.0
Paraguay,6.9,0.0,43.3,6.0,5.2,62.7,2.4,0.0,5.5,42.9,0.0,0.0,6.1,7.6,3.3,6.1,0.0
Peru,7.7,62.0,51.0,8.7,5.1,26.1,4.6,7.8,4.0,53.6,3.0,0.0,7.4,8.6,4.0,4.8,0.0
Philippines,7.0,52.0,52.7,5.5,6.5,62.1,3.8,44.2,5.1,42.7,18.0,4.4,7.7,6.6,3.4,6.0,3.0
Poland,6.7,30.0,56.9,7.4,4.1,74.0,3.9,20.8,6.1,54.5,7.0,0.0,7.4,7.0,5.4,5.0,0.0
Portugal,7.5,27.0,63.1,7.3,5.1,35.7,5.4,4.7,4.8,57.5,1.0,13.3,8.4,8.6,6.5,6.6,3.0
Qatar,7.3,84.0,35.4,5.1,6.9,54.7,5.6,3.3,8.8,52.4,2.0,0.0,8.0,8.2,4.5,7.4,0.0
Romania,6.8,41.0,47.0,7.2,3.6,64.0,4.5,9.2,5.5,36.1,5.0,0.0,7.8,7.6,5.1,4.8,0.0
Russian Federation,5.8,0.0,51.5,2.8,3.2,107.4,2.1,0.0,5.6,44.7,0.0,0.0,5.8,5.9,4.4,3.9,0.0
Rwanda,6.4,0.0,45.7,3.2,5.4,86.5,4.6,0.0,3.6,39.8,0.0,0.0,2.6,5.8,3.7,4.8,0.0
Saudi Arabia,6.7,0.0,39.0,1.0,7.6,93.0,5.2,0.0,5.7,46.2,0.0,0.0,7.3,7.3,3.8,6.8,0.0
Senegal,5.7,0.0,51.4,5.6,4.8,113.5,5.4,0.0,5.0,50.2,0.0,1.7,7.0,6.1,3.7,5.3,1.0
Serbia,6.2,0.0,46.6,6.5,6.3,104.1,4.7,0.0,7.7,44.9,0.0,0.0,8.0,7.0,5.0,6.0,0.0
Seychelles,7.2,0.0,60.3,8.9,6.9,62.4,4.0,0.0,7.2,59.1,0.0,0.0,8.6,8.0,4.8,7.0,0.0
Sierra Leone,5.6,0.0,34.6,2.2,4.6,112.5,4.7,0.0,5.2,29.2,0.0,0.0,5.7,5.2,2.6,4.0,0.0
Singapore,8.7,10.0,65.0,9.1,7.5,2.6,7.2,105.7,7.3,62.0,25.0,8.2,9.6,9.4,7.9,8.1,8.0
Slovak Republic,7.4,0.0,56.2,6.8,6.0,39.3,4.4,0.0,4.2,61.5,0.0,0.0,7.8,7.8,6.1,6.6,0.0
Slovenia,7.1,0.0,55.6,6.8,6.4,55.2,5.4,0.0,5.0,55.0,0.0,0.0,8.1,8.1,6.2,6.3,0.0
South Africa,6.9,48.0,62.4,7.4,6.5,66.0,6.2,25.0,6.0,54.3,5.0,0.0,6.6,6.6,4.8,6.0,0.0
Spain,7.8,15.0,61.5,7.3,6.2,19.3,6.0,115.0,9.0,61.0,26.0,5.1,8.9,8.5,6.8,6.9,4.0
Sri Lanka,6.3,0.0,56.8,3.2,6.1,91.3,4.1,0.0,6.9,47.6,0.0,0.0,7.2,6.7,5.3,5.8,0.0
Sudan,5.6,0.0,22.1,0.5,6.6,126.6,3.4,0.0,5.0,44.5,0.0,0.0,3.5,4.1,2.1,6.3,0.0
Suriname,5.9,0.0,44.4,4.4,5.4,113.2,7.2,0.0,7.4,51.4,0.0,0.0,4.9,6.0,5.5,4.9,0.0
Sweden,7.8,6.0,62.0,7.4,6.4,22.1,6.8,165.7,7.1,57.8,45.0,65.4,9.4,8.7,8.5,7.3,8.0
Switzerland,8.6,8.0,69.5,7.5,6.9,2.4,8.5,181.9,5.1,66.1,41.0,5.0,9.0,8.3,8.7,8.4,4.0
Syrian Arab Republic,5.3,0.0,46.6,0.6,3.5,123.6,8.0,0.0,8.6,51.3,0.0,0.0,5.7,5.0,2.6,3.7,0.0
Tajikistan,6.5,0.0,38.9,1.0,7.3,94.6,4.6,0.0,9.2,29.9,0.0,0.0,2.6,5.7,3.6,7.2,0.0
Tanzania,6.3,0.0,45.9,8.0,4.6,90.5,4.3,1.5,4.9,36.3,1.0,0.0,6.6,5.8,5.8,5.0,0.0
Thailand,6.6,50.0,52.4,3.8,6.2,78.1,3.7,95.3,7.5,48.4,28.0,3.5,8.0,6.5,4.9,6.2,3.0
Timor-Leste,5.9,0.0,61.5,8.0,6.4,122.7,3.5,0.0,6.9,53.8,0.0,0.0,6.9,7.4,3.8,6.4,0.0
Togo,5.8,0.0,52.0,1.0,5.2,112.0,3.7,0.0,6.6,44.4,0.0,0.0,5.6,6.1,2.6,5.0,0.0
Trinidad and Tobago,7.2,0.0,45.2,7.5,6.7,48.4,5.4,0.0,3.5,53.3,0.0,0.0,7.6,8.0,5.9,6.2,0.0
Tunisia,6.4,0.0,55.5,7.8,5.3,88.4,6.2,0.0,5.7,44.6,0.0,0.0,7.6,5.9,4.9,5.5,0.0
Turkiye,6.3,0.0,54.2,9.0,5.3,90.0,4.3,0.0,5.5,49.3,0.0,0.0,8.0,6.9,4.9,5.0,0.0
Uganda,7.1,0.0,46.5,6.6,5.2,53.5,4.2,0.0,7.7,33.3,0.0,0.0,4.9,7.4,3.0,4.3,0.0
Ukraine,5.5,34.0,49.7,5.0,4.4,119.8,1.6,10.9,5.9,35.4,6.0,13.0,6.1,6.0,4.6,4.5,1.0
United Arab Emirates,7.2,25.0,46.0,4.5,6.3,51.0,5.8,7.8,6.2,44.8,3.0,2.0,9.2,8.8,4.1,6.7,2.0
United Kingdom,8.4,2.0,69.0,8.0,8.1,5.6,7.4,199.1,4.8,65.6,49.0,183.6,9.1,9.1,8.2,8.1,30.0
United States,8.5,1.0,74.5,1.8,8.6,4.3,8.0,4685.1,9.4,71.9,719.0,1111.2,9.3,8.4,8.6,8.6,215.0
Uruguay,7.2,51.0,59.6,7.2,6.3,46.9,5.8,3.0,4.6,62.4,2.0,0.0,7.1,8.3,5.9,6.4,0.0
"Venezuela, RB",4.7,0.0,40.5,6.2,5.2,126.0,4.0,0.0,6.8,43.8,0.0,0.0,4.0,4.9,4.8,5.8,0.0
Vietnam,5.7,59.0,37.9,0.7,3.9,114.0,3.1,21.2,3.9,44.2,7.0,3.0,7.3,5.8,4.1,4.9,1.0
"Yemen, Rep.",6.4,0.0,31.9,0.7,6.6,110.9,4.1,0.0,3.9,31.2,0.0,0.0,6.2,7.2,3.0,6.4,0.0
Zambia,7.1,0.0,49.4,6.8,5.3,56.4,4.4,0.0,5.0,33.6,0.0,0.0,3.7,7.6,4.8,4.8,0.0
Zimbabwe,4.0,0.0,58.7,6.3,5.3,133.5,4.0,3.0,7.8,48.7,1.0,0.0,3.0,2.9,4.9,5.1,0.0
Média Mundial,6.7,13.7,51.2,5.3,5.9,73.1,4.8,71.7,5.9,48.7,14.3,17.5,6.7,6.9,4.9,6.0,3.8
